"CaseId","WEIGHT","DV1A","DV1B","DV1C","DV1D","DV2A","DV2B","DV2C","DV2D","DV3A","DV3B","DV3C","DV3D","DV4A","DV4B","DV4C","DV4D","GENDER","AGE4","RACETHNICITY","EDUC5","INCOME4","METRO"
1,1.0410000574,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
2,0.8025537535,"Yes","No","Yes","Yes","No","SKIPPED ON WEB","Yes","Unsure","No","Yes","Unsure","Unsure","Yes","No","Yes","No","Male","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
3,0.1872200423,"Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","Yes","No","Female","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Non-Metro Area"
4,1.3689458674,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Unsure","Yes","Unsure","Female","30-44","White, non-Hispanic","Post grad study/professional degree","Less than $30,000","Metro Area"
5,1.1036607136,"Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","Male","30-44","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
6,1.5654914065,"Yes","Unsure","Yes","Yes","Unsure","No","Yes","Unsure","Unsure","Unsure","Unsure","No","Unsure","Unsure","Yes","Unsure","Male","45-59","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
7,0.6570486331,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Female","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
8,0.3174702902,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
9,0.7565589749,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","No","Yes","Unsure","Yes","Yes","Female","30-44","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Non-Metro Area"
10,1.2994346367,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Unsure","Unsure","Unsure","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Post grad study/professional degree","$30,000 to under $60,000","Metro Area"
11,2.9630746688,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","60+","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Metro Area"
12,0.4376777209,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
13,0.3655637039,"Yes","No","Unsure","Yes","Yes","Unsure","Unsure","Unsure","No","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Female","60+","White, non-Hispanic","Some college/ associates degree","Less than $30,000","Metro Area"
